merged,merged,merged,merged
"If you visit a health
care provider’s office
or clinic",Primary care visit to treat an injury or illness ,$25 copay/visit,Subject to plan allowable
"If you visit a health
care provider’s office
or clinic",Specialist visit,$45 copay/visit,Subject to plan allowable
"If you visit a health
care provider’s office
or clinic","Preventive care/screening/
immunization",0% coinsurance,"You may have to pay for services that aren’t preventive.
Ask your provider if the services you need are preventive.
Then check what your plan will pay for. Subject to plan
allowable "
If you have a test,Diagnostic test (blood work),"Facility: 0% of plan allowable, deductible
does not apply
Professional Fees: 0% after deductible",Subject to plan allowable
If you have a test,"Imaging (X-Ray, CT/PET
scans, MRIs)","Facility: 0% of plan allowable, deductible does not apply ",Subject to plan allowable
If you have a test,"Imaging (X-Ray, CT/PET
scans, MRIs)",Professional Fees: 0% after deductible ,Subject to plan allowable
"If you need drugs to
treat your illness or
condition
More information about
prescription drug
coverage is available at
www.myfreepharmacy.c
om",Generic drugs,America’s Pharmacy Source,"Please refer to www.myfreepharmacy.com for list of
covered medications."
"If you need drugs to
treat your illness or
condition
More information about
prescription drug
coverage is available at
www.myfreepharmacy.c
om",Preferred brand drugs,America’s Pharmacy Source,"Please refer to www.myfreepharmacy.com for list of
covered medications."
"If you need drugs to
treat your illness or
condition
More information about
prescription drug
coverage is available at
www.myfreepharmacy.c
om",Non-preferred brand drugs,Not covered,"Please refer to www.myfreepharmacy.com for list of
covered medications."
"If you need drugs to
treat your illness or
condition
More information about
prescription drug
coverage is available at
www.myfreepharmacy.c
om",Specialty drugs,Not covered,None
"If you need drugs to
treat your illness or
condition
More information about
prescription drug
coverage is available at
www.myfreepharmacy.c
om",Specialty drugs,Not covered ,None
"If you have outpatient
surgery","Facility fee (e.g., ambulatory
surgery center)","Facility: 0% of plan allowable, deductible
does not apply","Failure to obtain precertification will result in a 50% benefit
reduction ($2,500 maximum). Subject to plan allowable."
"If you have outpatient
surgery",Physician/surgeon fees,"Professional Fees: 0% after deductible, subject to plan allowable ",Subject to plan allowable
"If you need immediate
medical attention",Emergency room care,"Facility: 0% of plan allowable, deductible
does not apply
Professional Fees: 0% after deductible",Subject to plan allowable
"If you need immediate
medical attention",Emergency medical transportation ,0% after deductible,Subject to plan allowable
"If you need immediate
medical attention",Urgent care,$60 copay/visit,Subject to plan allowable
"If you have a hospital
stay","Facility fee (e.g., hospital room)","Facility: 0% of plan allowable, deductible does not apply ","Failure to obtain precertification will result in a 50% benefit
reduction ($2,500 maximum). Subject to plan allowable."
"If you have a hospital
stay",Physician/surgeon fees,Professional Fees: 0% after deductible,Subject to plan allowable
"If you need mental
health, behavioral
health and substance
abuse services",Outpatient services,$25 copay/visit,Subject to plan allowable
"If you need mental
health, behavioral
health and substance
abuse services",Inpatient services,Deductible/Coinsurance,"Failure to obtain precertification will result in a 50% benefit
reduction ($2,500 maximum). Subject to plan allowable."
If you are pregnant,Office visits,Professional Fees: 0% after deductible,Subject to plan allowable
If you are pregnant,"Childbirth/delivery professional
services",Professional Fees: 0% after deductible,Subject to plan allowable
If you are pregnant,"Childbirth/delivery facility
services","Facility: 0% of plan allowable, deductible does not apply ",Subject to plan allowable
"If you need help
recovering or have
other special health
needs",Home health care,"0% after deductible,","Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable. "
"If you need help
recovering or have
other special health
needs",Rehabilitation services,"0% after copayment, per visit","Limited to 20 visits per Calendar Year for physical, and occupational therapies each, 20 visits for Speech, 15 visits for Chiropractic. Subject to plan allowable "
"If you need help
recovering or have
other special health
needs",Rehabilitation services,"0% after copayment, per visit","Limited to 20 visits per Calendar Year, combined with the
above therapies. Subject to plan allowable"
"If you need help
recovering or have
other special health
needs",Habilitation services ,"0% after copayment, per visit","Limited to 20 visits per Calendar Year, combined with the
above therapies. Subject to plan allowable"
"If you need help
recovering or have
other special health
needs",Skilled nursing care,"Facility: 0% of plan allowable, deductible does not apply ","Limited to 60 days per Calendar Year. Failure to obtain
precertification will result in a 50% benefit reduction
($2,500 maximum). Subject to plan allowable"
"If you need help
recovering or have
other special health
needs",Skilled nursing care,Professional Fees: 0% after deductible ,"Limited to 60 days per Calendar Year. Failure to obtain
precertification will result in a 50% benefit reduction
($2,500 maximum). Subject to plan allowable"
"If you need help
recovering or have
other special health
needs",Durable medical equipment,0% after deductible,"Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable. (Limited to 12 month rental or purchase price, whichever is less) "
"If you need help
recovering or have
other special health
needs",Hospice services,0% after deductible,"Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable. "
"If your child needs
dental or eye care",Children’s eye exam ,Not covered ,None 
"If your child needs
dental or eye care",Children’s glasses ,Not covered ,None 
"If your child needs
dental or eye care",Children’s dental check-up ,Not covered ,None 
